X,Meand13C,SDd13C,Meand15N,SDd15N,n
POM Out,-21.466666666666665,0.20816659994661282,6.566666666666666,0.20816659994661305,3
POM Seep,-19.566666666666666,0.2886751345948129,7.5,0.8888194417315586,3
ZOOP Out,-18.766666666666666,1.193035344544886,5.866666666666666,0.20816659994661302,3
ZOOP Seep,-19.833333333333332,0.5686240703077334,7.166666666666667,0.2516611478423583,3
Symbiont,-14.950000000000001,1.5579407842339472,6.12,0.35604666936966406,40
